0,335,1094,1014,437,true
0,403,933,1286,338,true
0,426,910,1409,227,true
0,404,910,1278,631,true
0,403,875,1285,351,true
0,391,864,1198,415,true
0,403,798,1241,426,true
0,392,1048,1129,438,true
0,392,910,1106,403,true
0,380,875,1402,211,true
0,403,1325,1141,414,true
0,404,1186,1141,414,true
0,415,1095,1036,563,true
0,333,1015,853,331,true
0,369,979,1257,390,true
0,403,1094,922,368,true
0,391,795,968,403,true
0,599,2327,2602,371,false
0,210,865,863,491,true
0,403,852,957,511,true
0,392,875,876,391,true
0,322,921,968,392,true
0,368,933,933,404,true
0,391,784,933,426,true
0,199,889,885,415,true
0,391,991,1129,392,true
0,392,933,979,403,true
0,400,1000,1129,368,true
0,380,991,1060,357,true
0,449,false
0,345,472,false
0,243,484,541,596,false
0,414,415,403,392,false
0,317,542,541,false
0,380,599,162,false
0,391,784,414,369,false
0,611,622,611,599,false
0,288,401,411,false
0,582,336,438,false
0,403,392,403,426,392,false
0,346,345,484,484,323,false
0,887,910,false
0,380,4412,1025,false
0,541,1383,841,false
0,461,1267,472,449,false
0,158,369,357,false
0,334,323,311,508,448,false
0,179,282,438,622,345,false
0,438,683,false
0,564,473,483,219,265,606,397,false
0,507,495,false
0,false
0,314,714,false
